1	2	3	4	5	location
-88	-86	-74			center
-88	-82	-74	-60	-90	center
	-82		-58	-92	center
-90	-82	-82	-60	-94	center
-92	-82	-72	-60	-90	center
-88	-86	-74	-66		center
-92	-82	-74	-66	-92	center
-94	-80	-82	-60	-90	center
-90	-84	-74	-60	-94	center
-90	-80	-74	-58	-90	center
-88	-82	-74	-66		center
-88	-82	-80	-66	-94	center
-88	-84	-82	-60	-94	center
-90	-82	-74	-60	-90	center
-88	-86	-80	-58	-94	center
-88	-80	-74	-60	-90	center
-88	-80	-74		-94	center
-90	-84	-82	-66	-90	center
-90	-84	-80		-90	center
-90	-82	-74	-60	-94	center
-90	-84	-74	-58	-94	center
	-82	-74	-58	-92	center
-88	-80	-82		-92	center
-90	-82	-74	-66	-94	center
-92	-78	-74		-94	center
-90	-84	-74	-60	-94	center
	-82		-58	-94	center
-92	-80	-74	-58	-94	center
-92	-84	-74		-90	center
-92	-82	-80	-66	-94	center
-88	-80	-72			center
-88	-78	-74	-60	-92	center
	-82	-72			center
-92	-80	-74	-60	-90	center
-92	-80	-74		-94	center
-90	-84	-74			center
-88	-82	-74	-66	-94	center
-88	-82	-80		-92	center
-90	-78	-74	-60	-94	center
-92	-82	-74	-58	-94	center
-92	-86	-74	-58	-90	center
-90	-82	-74	-66	-88	center
-90	-80	-74		-90	center
-92	-84	-72	-60	-88	center
-92	-84		-58	-94	center
-92	-80	-74	-58		center
-92	-80	-70	-68	-92	center
-92	-84	-78	-68	-90	center
-86	-78	-78	-62	-92	center
	-78	-88	-60	-90	center
-88	-82	-86		-94	center
	-82	-74		-94	center
-90	-82		-58	-90	center
-92	-84	-88	-60	-92	center
-90	-84	-74	-66	-88	center
	-82	-74		-90	center
-90	-86		-60	-94	center
-90	-80	-74	-60	-90	center
-90	-84	-72	-60	-94	center
	-80	-72		-90	center
-88	-86	-74	-66	-90	center
-92	-86	-76		-92	center
-92	-82	-74	-60		center
-88	-86	-74	-60		center
-88	-82		-60	-92	center
-88	-78	-74	-66	-90	center
-92	-86	-78		-92	center
-92	-78		-60		center
-90	-82	-80	-58	-90	center
-90	-78	-80	-60	-94	center
-92	-80	-74	-66	-90	center
-92	-86	-72			center
-92	-84	-74		-94	center
-92	-82	-80	-60	-96	center
-88	-82	-72	-60	-90	center
-90	-80		-58	-90	center
-92	-78	-82		-96	center
-90	-78	-74	-66		center
	-84	-74		-92	center
-92	-82	-74	-60	-90	center
-90	-82	-76	-60	-92	center
-90	-80	-78	-60	-90	center
-92	-78	-80	-60	-92	center
-88	-82	-76	-66		center
-90	-84		-66		center
-92	-86	-74	-60	-94	center
-92	-82			-90	center
-88	-82	-74	-60	-94	center
-88	-78	-78	-60	-90	center
-90	-84	-74		-94	center
-90	-78	-74	-66	-92	center
-90	-84	-78	-66	-90	center
