1	2	3	4	5	6	location
-88	-70	-76				south
-90	-68	-74	-94	-80	-90	south
-88	-62	-74	-96	-86	-92	south
-88	-62	-74				south
-90	-64	-74	-94	-92	-92	south
-88	-62	-74		-90		south
-86	-62	-74	-94	-90	-92	south
-88	-70	-74	-94	-86	-90	south
-88	-62	-74	-94	-86	-92	south
-88	-70	-74	-92	-84	-90	south
-86	-66	-74	-94	-86	-90	south
-88	-70	-74	-96	-86	-90	south
-86	-64	-74	-92	-74	-88	south
-86	-66	-80	-94	-78	-96	south
-88	-62	-74	-92	-78	-92	south
-88	-68	-74	-94	-82	-94	south
-88	-68	-74	-96	-84	-90	south
-88	-66	-74	-94	-78	-92	south
-86	-62	-74	-94	-76	-88	south
-86	-70	-74		-74	-90	south
-86	-68	-74	-96	-82	-94	south
-86	-62	-74	-94	-78	-94	south
-88	-68	-74	-94	-78	-88	south
-86	-70	-74	-96	-80	-94	south
-86	-70	-74	-96	-80	-96	south
-86	-66		-96	-90	-94	south
-86	-70	-74	-96	-72	-90	south
-86	-62	-74	-94		-92	south
-86	-70	-74	-96		-92	south
-86	-70	-74	-94		-92	south
-86	-66	-74	-94		-96	south
-86	-64	-74	-94		-92	south
-88	-68	-74	-94		-92	south
-90	-62	-74	-92		-90	south
-86	-70	-74	-94		-92	south
-86	-70	-74	-94			south
-90	-68	-74	-94			south
-86	-68	-74	-94		-92	south
-90	-70	-74	-96		-92	south
-88	-70	-74	-96	-86	-96	south
-90	-62	-74	-96	-78	-92	south
-86	-62	-74	-96	-84	-94	south
-86	-66	-74	-96	-74	-92	south
-88	-66	-74	-94	-76	-92	south
-88	-66	-76	-96	-70	-92	south
-88	-68	-74	-94	-72	-92	south
-88	-68	-72	-94	-78		south
-86	-68	-74	-92	-64		south
-86	-66	-74	-96	-66	-92	south
-86	-66	-74	-96	-82	-92	south
-86	-66	-78	-96	-72	-92	south
-86	-70	-78	-96	-84	-92	south
-88	-62	-76	-96	-68	-96	south
-86	-64	-78	-96	-76	-92	south
-88	-64	-76	-94	-74	-92	south
-88	-68	-78	-96	-68	-94	south
-86	-62	-76	-96	-76	-94	south
-88	-62	-80	-96	-74		south
-88	-62	-76	-96	-74		south
-88	-62	-74	-94	-74	-92	south
-88	-68	-76	-96	-78	-92	south
-88	-62	-76	-96	-74	-94	south
-88	-68	-74	-96	-64	-96	south
-86	-66	-76	-92	-62	-96	south
-86	-68	-74	-96	-72	-94	south
-86	-68	-74	-96	-70	-92	south
-88	-66	-74	-96	-72	-92	south
-88	-66	-78	-96	-74	-92	south
-88	-68	-78	-96	-70	-94	south
-86	-70	-76	-96	-64	-94	south
-88	-66	-76	-96	-74	-94	south
-88	-64	-76	-94	-78	-94	south
-88	-64	-78	-96	-84	-92	south
-88	-66	-76	-96	-88	-92	south
-86	-64	-74	-96	-72	-94	south
-88	-64	-74	-94	-76	-90	south
-86	-64	-72	-92	-62	-96	south
-86	-64	-76	-92	-56		south
