1	2	3	4	5	location
-88	-90	-68	-68		north
-88	-88		-66	-94	north
-94	-88	-72	-68	-94	north
-90	-88	-68	-66	-94	north
-96	-90	-72	-66		north
-94	-90	-72	-68		north
-94	-88	-72	-66		north
-94	-90	-72	-66	-94	north
-92	-88	-68	-68		north
	-90	-72	-66	-96	north
-90	-86	-74	-68		north
-90	-86	-70	-66		north
-90	-88	-72			north
-90	-86	-74	-66		north
-92	-90		-68		north
-90	-90	-74	-66		north
-90	-88	-70	-68		north
-90	-88	-72	-66	-94	north
-94	-90	-70	-68		north
-90	-86	-70	-68		north
-92		-70	-68		north
-90	-92	-70	-68		north
-90	-90	-70	-66		north
-90	-90	-70	-68		north
-92	-90	-70	-68		north
-92	-88	-70	-68	-94	north
-94	-90	-74	-66	-94	north
-94	-86	-70	-68		north
-92	-88	-70	-66		north
-90	-90	-70	-68	-94	north
	-90	-70	-68		north
	-90	-74	-66		north
-92	-86	-74	-68		north
-92	-90		-66		north
-90	-88	-70			north
-94	-90	-70	-68		north
-92	-90	-74	-66		north
-92	-92	-70	-66		north
-94	-90	-70	-68		north
	-90	-74	-66		north
-90	-90	-70	-68		north
-90	-88	-70	-68		north
-94	-88		-68		north
-94	-88	-72	-66		north
	-88	-70	-66	-94	north
-90	-86	-70	-66	-92	north
-92	-90	-74	-68		north
-90	-90	-70			north
-94	-90	-70	-66		north
	-90	-74	-68		north
-90		-70	-68		north
-90	-90	-74	-68		north
-90	-90	-70	-66	-94	north
	-90	-70	-66		north
-92	-86	-70	-66		north
-94	-86	-76	-66		north
-96	-90	-70	-68		north
-96	-90	-70	-66		north
-94		-74	-66		north
-90	-88	-70	-66		north
-92	-94	-70	-68		north
-96	-90	-70	-66		north
-94	-90	-70	-68		north
-94	-92	-74	-66		north
-94	-88	-68	-68		north
-92	-90	-70	-68		north
-94	-88	-70	-68	-94	north
-92	-86	-74	-66		north
-90	-90	-70	-66		north
-96	-88	-68	-66		north
		-74	-68		north
-92	-90	-68	-68		north
-94	-90		-68		north
-94		-72	-68		north
-90	-88		-66		north
-90	-90	-72	-68		north
-94	-88	-68	-66		north
-88	-86	-70	-68	-92	north
